"PID","Alter","Geschlecht","SysId","SM","PedNav","OS1","OS2","OS3","OS4","OS5","OS6","OS7","OS8","OS9","OS10","OS11","OS12","OS13","OS14","OS15","OS16","OS17","OS18","OS19","OKS","D1","D2","D3","D4","D5","D6","D7","Hilfe"
"P2.1",20,"w","Karte",4,2,7,6,6,7,7,5,3,6,5,6,3,7,7,7,7,4,5,5,3,7,7,3,2,7,3,2,7,"H"
"P2.2",23,"m","Karte",7,5,1,2,1,6,6,1,1,4,2,3,5,5,1,5,3,4,1,3,1,1,7,7,6,5,7,7,5,"H"
"P2.3",21,"m","Graph",2,1,6,7,7,6,5,7,5,4,6,5,5,5,5,6,6,6,6,5,6,7,5,4,3,6,2,4,4,"NH"
"P2.4",20,"w","Karte",5,3,7,4,4,5,7,4,3,6,5,6,3,6,6,6,6,3,4,5,5,7,7,7,6,7,7,5,5,"NH"
"P2.5",23,"w","Graph",6,5,4,6,1,5,2,2,3,4,4,4,2,3,1,4,6,5,1,3,2,6,5,7,6,6,2,5,7,"H"
"P2.6",21,"w","Karte",6,5,5,5,2,3,6,6,2,5,3,5,3,6,6,5,7,7,6,5,6,4,6,7,7,7,6,5,6,"H"
"P2.7",21,"m","Graph",7,2,4,4,5,3,4,2,4,4,6,3,3,4,5,3,6,7,5,5,4,6,7,6,6,6,5,6,7,"H"
"P2.8",25,"m","Graph",5,4,6,5,5,5,5,5,4,5,5,4,4,5,4,4,4,4,5,5,4,6,5,5,3,6,4,4,6,"NH"
"P2.8.1",25,"w","Graph",3,2,3,3,3,3,2,1,2,4,3,4,3,3,4,3,3,4,1,2,3,4,6,7,7,7,6,6,7,"NH"
