"PID","Alter","Geschlecht","SysId","SM","PedNav","OS1","OS2","OS3","OS4","OS5","OS6","OS7","OS8","OS9","OS10","OS11","OS12","OS13","OS14","OS15","OS16","OS17","OS18","OS19","OKS","D1","D2","D3","D4","D5","D6","D7","Hilfe"
"P4.1",21,"w","Karte",5,1,6,4,2,4,1,2,4,5,2,4,4,5,6,5,7,1,7,2,3,1,7,7,6,7,4,6,6,"H"
"P4.2",20,"w","Graph",7,4,2,4,4,4,2,4,4,2,4,2,4,3,3,4,3,4,3,3,4,5,5,4,5,5,4,5,6,"H"
"P4.3",23,"m","Karte",4,3,7,7,6,6,6,6,6,6,7,5,6,6,6,5,6,6,6,5,5,6,7,7,4,6,4,4,6,"H"
"P4.4",21,"m","Karte",7,7,4,2,5,2,7,7,2,5,7,5,1,5,2,4,5,3,7,2,1,1,7,7,5,3,7,7,7,"NH"
"P4.5",22,"w","Graph",7,5,7,6,5,6,5,3,5,6,5,5,5,5,6,6,5,6,2,4,5,6,7,7,7,7,7,7,7,"NH"
"P4.6",22,"w","Graph",5,1,7,4,4,6,7,1,5,5,6,5,4,6,5,5,5,4,2,5,4,4,6,7,7,6,5,6,5,"NH"
"P4.7",22,"m","Karte",6,1,5,4,5,6,6,6,5,6,6,5,4,5,5,5,6,5,7,5,4,2,6,7,6,5,7,2,7,"NH"
"P4.8",18,"m","Graph",7,3,3,4,5,2,3,1,3,5,4,4,2,4,4,3,5,3,1,3,4,1,6,6,5,7,5,7,6,"H"
