"PID","Alter","Geschlecht","SysId","SM","PedNav","OS1","OS2","OS3","OS4","OS5","OS6","OS7","OS8","OS9","OS10","OS11","OS12","OS13","OS14","OS15","OS16","OS17","OS18","OS19","OKS","D1","D2","D3","D4","D5","D6","D7","Hilfe"
"P1.1",22,"m","Graph",7,4,2,5,5,4,3,2,5,2,4,3,5,3,5,3,3,5,2,2,2,7,2,4,5,3,4,7,2,"H"
"P1.2",24,"m","Karte",4,1,3,3,3,2,4,4,2,2,2,3,3,2,3,2,2,2,4,2,2,4,6,6,6,7,6,5,7,"NH"
"P1.3",20,"w","Graph",7,1,4,4,2,4,3,3,4,3,6,5,3,3,3,3,3,4,3,3,5,3,6,7,6,7,3,6,7,"NH"
"P1.4",21,"w","Karte",5,2,1,3,5,1,4,3,3,3,4,4,3,2,3,3,3,3,3,4,3,6,7,7,7,7,4,5,7,"NH"
"P1.5",22,"m","Graph",7,6,5,3,2,5,5,2,3,3,6,5,4,5,6,5,6,6,2,3,4,3,6,7,6,7,1,1,6,"H"
"P1.6",22,"w","Karte",6,4,5,3,3,4,5,6,3,5,5,4,3,5,5,4,5,3,6,5,3,3,4,6,7,6,4,5,5,"H"
"P1.7",22,"w","Karte",6,3,6,1,3,2,7,1,3,5,5,6,2,5,6,6,2,4,2,2,3,6,7,6,7,6,6,6,6,"NH"
"P1.8",22,"m","Graph",7,7,6,7,7,6,3,3,5,5,6,5,2,2,6,6,4,6,2,2,5,7,7,7,4,6,7,7,7,"NH"
