"PID","Alter","Geschlecht","SysId","SM","PedNav","OS1","OS2","OS3","OS4","OS5","OS6","OS7","OS8","OS9","OS10","OS11","OS12","OS13","OS14","OS15","OS16","OS17","OS18","OS19","OKS","D1","D2","D3","D4","D5","D6","D7","Hilfe"
"P9.1",19,"m","Karte",6,1,7,6,2,7,7,4,6,6,7,6,5,7,7,6,7,7,5,4,6,3,6,4,7,6,7,6,7,"NH"
"P9.2",24,"m","Graph",5,4,7,1,1,5,7,1,1,7,5,7,1,7,1,7,6,5,1,6,1,5,5,6,3,5,1,1,6,"H"
"P9.3",23,"m","Graph",5,2,5,5,5,6,3,2,5,5,3,5,3,5,5,5,4,5,2,5,5,2,5,7,6,7,6,6,6,"NH"
"P9.4",20,"m","Graph",7,3,6,6,5,6,4,4,5,4,7,5,6,5,2,6,6,6,4,4,6,4,5,5,3,4,4,5,7,"NH"
"P9.5",16,"w","Karte",4,2,6,3,3,4,3,1,3,4,1,6,6,6,3,4,5,3,1,3,2,2,6,7,4,4,7,3,4,"H"
"P9.6",21,"w","Karte",6,6,5,7,5,5,5,2,4,5,6,6,2,4,3,4,5,5,2,2,5,5,7,7,6,7,5,3,5,"NH"
"P9.7",23,"w","Karte",7,5,7,5,5,4,4,4,3,2,2,5,4,4,3,4,5,4,2,2,3,7,6,7,5,7,5,7,6,"H"
"P9.8",22,"w","Graph",5,1,1,5,6,2,5,3,6,5,7,4,2,5,5,6,5,6,2,5,5,4,4,6,5,6,4,4,6,"H"
