"PID","Alter","Geschlecht","SysId","SM","PedNav","OS1","OS2","OS3","OS4","OS5","OS6","OS7","OS8","OS9","OS10","OS11","OS12","OS13","OS14","OS15","OS16","OS17","OS18","OS19","OKS","D1","D2","D3","D4","D5","D6","D7","Hilfe"
"P3.1",24,"m","Karte",3,2,5,5,6,4,6,2,6,5,5,5,7,5,6,5,4,6,2,4,6,5,6,7,4,6,4,6,6,"H"
"P3.2",21,"w","Graph",5,1,5,3,3,3,6,5,4,4,3,1,1,5,4,2,5,2,2,4,3,4,5,5,7,7,1,7,5,"H"
"P3.3",23,"m","Karte",5,2,3,4,5,3,5,4,3,5,3,3,3,3,3,4,5,4,4,3,4,6,5,4,5,5,6,6,4,"H"
"P3.4",21,"w","Graph",6,2,4,5,3,6,5,1,2,5,4,5,2,7,5,7,4,3,1,5,4,1,6,6,5,7,7,7,6,"H"
"P3.5",25,"m","Karte",7,5,6,6,5,6,5,2,4,6,6,5,4,6,6,6,7,7,3,5,5,3,6,6,7,7,5,2,6,"H"
"P3.6",29,"m","Graph",5,2,6,6,4,5,5,4,2,4,6,4,2,6,6,5,6,5,4,3,5,2,4,5,7,6,6,5,5,"NH"
"P3.7",21,"w","Karte",6,3,4,3,1,1,5,1,2,5,2,4,2,5,5,2,6,2,1,3,1,1,5,5,7,7,2,4,5,"H"
"P3.8",23,"w","Graph",5,5,2,3,3,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,1,6,7,7,7,6,6,6,"H"
