ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9998773,HY175198,01/01/2014 12:00:00 AM,052XX S WABASH AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,0225,002,3,40,17,1177647,1870174,2014,03/29/2015 04:06:25 PM,41.799082385,-87.624053988,"(41.799082385, -87.624053988)"
9447387,HX100851,01/01/2014 12:00:00 AM,011XX N MOZART ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1211,012,26,24,06,1157224,1907276,2014,01/04/2014 12:39:15 AM,41.901332422,-87.697943453,"(41.901332422, -87.697943453)"
9896166,HX546590,01/01/2014 12:00:00 AM,038XX W GRENSHAW ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,1133,011,24,29,20,1150976,1894805,2014,12/19/2014 12:48:32 PM,41.867235358,-87.721219841,"(41.867235358, -87.721219841)"
9446846,HX100086,01/01/2014 12:00:00 AM,008XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1133,011,24,27,14,1153799,1896040,2014,01/05/2014 12:39:48 AM,41.870568628,-87.710823259,"(41.870568628, -87.710823259)"
10098334,HY286515,01/01/2014 12:00:00 AM,047XX S HERMITAGE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,0931,009,20,61,02,1165519,1873212,2014,06/08/2015 12:45:22 PM,41.807685017,-87.668444,"(41.807685017, -87.668444)"
9447227,HX100612,01/01/2014 12:00:00 AM,013XX W WRIGHTWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1932,019,32,7,14,1167100,1917351,2014,01/04/2014 12:39:15 AM,41.928772377,-87.661378089,"(41.928772377, -87.661378089)"
9901924,HX549222,01/01/2014 12:00:00 AM,031XX W CULLOM AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,true,true,1724,017,33,16,02,1154669,1928367,2014,03/07/2015 12:40:32 PM,41.959259304,-87.70676212,"(41.959259304, -87.70676212)"
9446876,HX100159,01/01/2014 12:00:00 AM,074XX W FOREST PRESERVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1631,016,36,17,14,1125737,1925107,2014,01/03/2014 12:38:59 AM,41.95084472,-87.813203066,"(41.95084472, -87.813203066)"
9850986,HX494238,01/01/2014 12:00:00 AM,033XX W FULTON BLVD,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,1123,011,28,27,17,1154026,1901760,2014,11/13/2014 12:40:25 PM,41.886260382,-87.709837303,"(41.886260382, -87.709837303)"
9599640,HX250301,01/01/2014 12:00:00 AM,043XX S TALMAN AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,true,0922,009,12,58,02,1159465,1875731,2014,10/31/2014 03:20:56 PM,41.814723846,-87.690579421,"(41.814723846, -87.690579421)"
9993250,HY183140,01/01/2014 12:00:00 AM,062XX S KEELER AVE,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,false,false,0813,008,13,65,02,1149408,1862692,2014,03/15/2015 04:01:53 PM,41.779143348,-87.727807109,"(41.779143348, -87.727807109)"
9824202,HX474401,01/01/2014 12:00:00 AM,071XX S SEELEY AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,false,0735,007,17,67,20,1163967,1857323,2014,10/31/2014 03:20:56 PM,41.764116356,-87.674582818,"(41.764116356, -87.674582818)"
9989914,HY180027,01/01/2014 12:00:00 AM,010XX E 73RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0324,003,5,69,11,1184588,1856869,2014,03/15/2015 04:01:53 PM,41.762412318,-87.599016669,"(41.762412318, -87.599016669)"
9726279,HX376171,01/01/2014 12:00:00 AM,012XX N KARLOV AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,true,true,2534,025,37,23,20,1148776,1908213,2014,10/31/2014 03:20:56 PM,41.904071151,-87.728949753,"(41.904071151, -87.728949753)"
10301876,HY469710,01/01/2014 12:00:00 AM,057XX S SAWYER AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,0822,008,14,63,02,,,2014,11/06/2015 03:55:21 PM,,,
9782386,HX431850,01/01/2014 12:00:00 AM,064XX S MORGAN ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,false,false,0723,007,16,68,26,1170797,1861898,2014,09/18/2014 12:40:09 PM,41.776524454,-87.649415881,"(41.776524454, -87.649415881)"
9962417,HY150259,01/01/2014 12:00:00 AM,043XX W WASHINGTON BLVD,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,1115,011,28,26,20,1147333,1900098,2014,02/16/2015 12:47:01 PM,41.881830479,-87.734458366,"(41.881830479, -87.734458366)"
9781770,HX421402,01/01/2014 12:00:00 AM,053XX S INDIANA AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,0231,002,3,40,17,1178546,1869676,2014,09/18/2014 12:40:09 PM,41.797695424,-87.620772309,"(41.797695424, -87.620772309)"
9961455,HY149985,01/01/2014 12:00:00 AM,001XX W 103RD PL,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,0512,005,34,49,20,1176974,1836361,2014,02/16/2015 12:47:01 PM,41.706310737,-87.627539244,"(41.706310737, -87.627539244)"
9772746,HX423358,01/01/2014 12:00:00 AM,051XX S BLACKSTONE AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,APARTMENT,true,true,0234,002,4,41,02,1186750,1871199,2014,11/08/2014 12:36:26 PM,41.801684093,-87.590639096,"(41.801684093, -87.590639096)"
9936626,HY125380,01/01/2014 12:00:00 AM,093XX S EGGLESTON AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,2223,022,21,73,17,1174898,1842730,2014,02/16/2015 12:47:01 PM,41.723834609,-87.634952248,"(41.723834609, -87.634952248)"
9660009,HX309848,01/01/2014 12:00:00 AM,002XX N STATE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,SIDEWALK,false,true,0111,001,42,32,26,1176368,1901767,2014,06/20/2014 12:39:30 PM,41.885804833,-87.627792585,"(41.885804833, -87.627792585)"
9883103,HX534342,01/01/2014 12:00:00 AM,073XX S SOUTH SHORE DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0334,003,7,43,11,1195334,1857264,2014,12/09/2014 12:42:40 PM,41.763237747,-87.559618752,"(41.763237747, -87.559618752)"
9659025,HX309053,01/01/2014 12:00:00 AM,032XX N LAMON AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,1634,016,30,15,02,1143093,1921050,2014,06/19/2014 12:43:10 PM,41.939405178,-87.749504063,"(41.939405178, -87.749504063)"
