"PID","Alter","Geschlecht","SysId","SM","PedNav","OS1","OS2","OS3","OS4","OS5","OS6","OS7","OS8","OS9","OS10","OS11","OS12","OS13","OS14","OS15","OS16","OS17","OS18","OS19","OKS","D1","D2","D3","D4","D5","D6","D7","Hilfe"
"P8.1",25,"m","Karte",7,7,5,1,1,4,3,1,1,5,1,3,1,5,6,5,6,2,1,4,1,7,6,6,7,5,5,7,6,"H"
"P8.2",24,"m","Graph",5,1,7,2,2,6,6,7,2,6,4,6,2,6,6,6,5,3,7,4,3,6,6,6,5,6,4,3,6,"H"
"P8.3",64,"m","Karte",1,1,4,4,2,4,7,1,4,5,4,6,2,4,3,3,5,3,2,4,3,1,4,7,6,5,5,3,4,"NH"
"P8.4.2",24,"m","Graph",7,5,7,7,6,6,7,3,5,4,6,4,5,6,7,7,5,7,3,4,6,6,3,3,6,6,6,6,6,"H"
"P8.5",22,"w","Graph",6,1,4,5,3,4,5,5,4,5,6,5,3,5,4,5,6,6,3,3,3,1,6,7,7,6,7,7,6,"H"
"P8.6",48,"w","Karte",7,3,2,1,2,3,2,1,1,2,2,1,2,2,2,1,3,2,1,2,1,7,3,2,4,2,4,2,3,"H"
"P8.7",11,"w","Karte",6,1,4,1,2,5,4,3,1,4,5,3,1,7,6,4,6,1,7,2,1,1,5,7,7,7,4,6,7,"NH"
"P8.8",23,"w","Graph",5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,1,1,6,7,7,7,7,6,6,7,"H"
