"PID","Alter","Geschlecht","SysId","SM","PedNav","OS1","OS2","OS3","OS4","OS5","OS6","OS7","OS8","OS9","OS10","OS11","OS12","OS13","OS14","OS15","OS16","OS17","OS18","OS19","OKS","D1","D2","D3","D4","D5","D6","D7","Hilfe"
"P6.1",25,"m","Karte",6,4,5,5,6,6,7,4,5,6,5,6,6,5,6,6,7,5,7,5,5,1,6,6,7,7,7,7,4,"NH"
"P6.2",18,"m","Graph",2,3,1,2,1,3,4,3,1,2,4,3,2,1,3,1,5,1,1,1,2,5,1,3,5,4,5,5,3,"NH"
"P6.3",23,"m","Karte",7,2,5,4,3,5,4,5,2,5,5,4,3,5,6,5,6,6,5,5,3,2,5,6,2,6,4,6,5,"NH"
"P6.4",21,"w","Karte",5,2,6,5,6,5,5,1,5,6,5,5,3,6,6,6,6,5,2,5,6,2,6,7,6,7,7,6,7,"NH"
"P6.5",24,"m","Karte",6,2,6,7,4,6,7,5,1,5,6,5,4,6,5,6,7,4,6,5,3,2,7,7,5,7,7,4,7,"NH"
"P6.6",23,"w","Graph",7,4,1,3,2,2,1,1,2,2,2,2,1,3,4,3,1,2,1,2,1,7,5,6,6,6,6,3,4,"NH"
"P6.7",20,"m","Karte",7,2,5,6,5,6,5,4,3,5,6,5,3,4,3,5,7,6,4,4,5,5,5,5,7,6,7,5,6,"NH"
"P6.8",21,"m","Graph",7,5,6,6,6,5,6,4,6,5,6,6,4,6,6,6,5,6,4,6,6,7,6,7,7,7,5,3,7,"NH"
